행정구역,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
전체,9407540,4475726,2.1,4552501,4855039
종로구,139945,72304,1.94,67625,72320
중구,121405,64609,1.88,58788,62617
용산구,216152,109360,1.98,103804,112348
성동구,278366,133366,2.09,135143,143223
광진구,336604,170388,1.98,161892,174712
동대문구,341238,173091,1.97,167468,173770
중랑구,382797,187900,2.04,187844,194953
성북구,427671,197607,2.16,205245,222426
강북구,290155,144269,2.01,140589,149566
도봉구,307740,138210,2.23,149281,158459
노원구,499989,218367,2.29,240084,259905
은평구,467098,215776,2.16,221977,245121
서대문구,307441,147333,2.09,146119,161322
마포구,364257,181192,2.01,170296,193961
양천구,437401,181072,2.42,213648,223753
강서구,564339,274249,2.06,270491,293848
구로구,393929,184467,2.14,193258,200671
금천구,228611,120650,1.89,115038,113573
영등포구,375586,190761,1.97,184175,191411
동작구,380154,187199,2.03,183880,196274
관악구,485172,286045,1.7,244198,240974
서초구,406404,169621,2.4,193703,212701
강남구,540957,238647,2.27,258656,282301
송파구,655744,286123,2.29,315224,340520
강동구,458385,203120,2.26,224075,234310
